epoch,train_loss,test_loss
1,2204.504424140669,2139.44448811484
2,2028.3822791192185,2071.9380517797085
3,1943.887010457608,2035.3766192106923
4,1892.7606536334047,2010.8634323325393
5,1861.4406706752702,1988.3748193578335
6,1837.018641048305,1970.195313594801
7,1818.99176529162,1954.4746071853979
8,1803.6045187811446,1941.3337884056193
9,1791.3350763594012,1930.3781973663467
10,1781.0565882601943,1921.8773133145319
11,1769.9206091973435,1910.1431528955297
12,1759.6319541010141,1898.2883990505886
13,1750.5324086055937,1890.0014374737248
14,1742.2419835240034,1881.2392315372758
15,1734.057681615402,1871.9060753792392
16,1726.7187042150654,1865.2805558961604
17,1719.4404686184025,1856.2854463722674
18,1712.6743783667007,1851.5142400767236
19,1706.7071442044498,1844.5799916357203
20,1700.8562043247298,1835.9052362142656
21,1695.3528148687535,1831.423638177025
22,1690.2237337038532,1825.0657893296313
23,1685.4840619078116,1818.919051508198
24,1680.5661507316815,1813.3363513347813
25,1675.8412814517826,1808.330465684557
26,1671.6056085722557,1803.846431167671
27,1667.7681903271512,1798.7776689058996
28,1663.8012593872825,1794.7071024120655
29,1660.0504988638756,1790.5356959868975
30,1656.4535683187992,1785.8711079824132
31,1652.7875483072185,1782.2087993536295
32,1649.4991487292077,1778.5359872039658
33,1646.156109903583,1774.7596753039168
34,1643.1508950817658,1771.8058140502383
35,1640.1829516642686,1768.9363247311169
36,1636.8193403240805,1765.0343077792181
37,1634.2432682437886,1763.399290349986
38,1631.413083195887,1758.9667875691914
39,1628.764186201572,1755.9356569025015
40,1626.2043378895285,1752.9915432096063
41,1623.7421365060009,1751.2647907616313
42,1621.377484449572,1747.9917222095712
43,1618.9945844921217,1745.876422693911
44,1616.6832376144898,1744.34644102088
45,1614.754454024249,1742.1249594923627
46,1612.5827002035373,1739.2204567947729
47,1610.4294349974557,1737.005985277116
48,1608.3146370872228,1735.197759380255
49,1606.4680434863665,1732.8936822318176
50,1604.5994095114227,1731.15404726037
51,1602.6795413720347,1729.3186949315093
52,1601.0548624149003,1728.1974999124159
53,1599.2619572703186,1726.133602398928
54,1597.4146316588294,1724.5746522911995
55,1596.061131935184,1723.3497670263453
56,1594.8406643147284,1721.6453665831698
57,1592.8639861186657,1720.8344923626682
58,1591.50425169322,1718.566663528237
59,1589.884875837837,1717.3814363351316
60,1588.3526643542077,1716.2503558103278
61,1587.2193479457644,1715.3984572064182
62,1585.931919721189,1714.3141005990751
63,1584.4335479650654,1712.8815501944366
64,1583.0432914378334,1711.4348768567825
65,1581.784417659496,1710.5979994701163
66,1580.715214964381,1709.0762939453125
67,1579.4926173848962,1708.3576457618062
68,1578.3410100321098,1707.2553470081277
69,1577.2531854799797,1707.4221404892446
70,1576.2426686530566,1705.9844072966298
71,1575.0248272235576,1704.7773103585691
72,1574.0774042299797,1703.6580509476598
73,1573.0631503105699,1702.5485182963146
74,1572.0748638515054,1702.459880469626
75,1571.196650681236,1701.127976216543
76,1570.3345787566675,1700.8518449586604
77,1569.3171388089556,1699.8878912818807
78,1568.5420333116929,1699.1569057858044
79,1567.5159926502843,1698.6780797847184
80,1566.6395357572114,1697.8369950777746
81,1565.9474816640932,1697.1394858595502
82,1565.3157082353664,1697.0173525959922
83,1564.7522193356085,1696.0348945925589
84,1563.9306067627913,1695.6596312929162
85,1563.122924050744,1694.7341954526346
86,1562.2605486296322,1694.1675242607903
87,1561.5473928906688,1693.525003065443
88,1560.681313550586,1692.9256788861057
89,1560.1418178757544,1692.5782815565442
90,1559.3427268300813,1692.1920937850336
91,1559.0299792624403,1691.8295471465105
92,1558.2776724693817,1691.0847507357062
93,1557.4985450260563,1690.5713854049889
94,1557.0070549923673,1689.911865234375
95,1556.381482817764,1689.9013956523263
96,1555.7823192290145,1689.2840975774243
97,1555.1302548493647,1688.8305094765976
98,1554.7118523762108,1688.488149873879
99,1554.074170771775,1687.9826802480382
100,1553.508212501316,1688.0452470308996
101,1553.0951920883633,1686.9850121741872
102,1552.5907517721785,1687.0305482325532
103,1552.1011090372333,1686.7490847463564
104,1551.5805502307342,1686.397322992573
105,1550.9931322597909,1685.7355376786716
106,1550.5348790729402,1685.845682323781
107,1549.9998355032285,1685.1881743974216
108,1549.4494155978032,1684.8047696100757
109,1549.1795824962276,1684.463754422996
110,1548.5733214201116,1684.017922987318
111,1548.1221462551762,1684.168949691704
112,1547.60710631536,1683.292963275995
113,1547.1908395586222,1682.9261666199552
114,1546.6773637089416,1682.2890252767656
115,1546.223458171761,1682.1482075917882
116,1545.7200794080748,1682.2385746566704
117,1545.3407073580502,1681.8010877942825
118,1545.1418924476243,1681.4023678356223
119,1544.6685507944098,1681.1718005535313
120,1544.325457136528,1680.9387524523543
121,1544.0007024012143,1680.6936352648543
122,1543.6628282258914,1680.618895389574
123,1543.316918383282,1680.550782344801
124,1542.9754946417918,1680.472160305143
125,1542.7610344434306,1680.0549743378645
126,1542.501946270968,1680.0425636736268
127,1542.291451267283,1679.8047345764435
128,1541.9976402938132,1679.85961366662
129,1541.6811367165567,1679.655770477158
130,1541.5176524227084,1679.5331856081839
131,1541.182235280829,1679.429055799818
132,1540.8313115766248,1679.0064089651064
133,1540.6666944483436,1678.9762340596974
134,1540.4971092434025,1679.0683090141536
135,1540.3707833994245,1679.0873760685258
136,1540.121834259633,1678.865854032371
137,1539.9669202475786,1678.683981309557
138,1539.847663104032,1678.6061464318245
139,1539.6731353194307,1678.7341910734306
140,1539.5130928463643,1678.6832477928813
141,1539.2459703774214,1678.296605678952
142,1539.0198032179956,1678.2680040025925
143,1538.8498073194482,1678.2961951285733
144,1538.623497870315,1678.2976216542882
145,1538.5289752838119,1678.3821775154147
146,1538.4204948720874,1678.1175903867713
147,1538.2071236423533,1677.9237832381586
148,1538.1370367770915,1678.2556250875841
149,1537.9402797212767,1678.109129764574
150,1537.7917618920198,1677.8093546367013
151,1537.8451166940097,1677.8968872617713
152,1537.5038645774846,1677.8198067019339
153,1537.461098706836,1677.791238964406
154,1537.261543012616,1677.5822129869675
155,1537.1829878535584,1677.6428912380886
156,1537.089864860419,1677.7332079421244
157,1536.8876155315659,1677.290166059417
158,1536.809174149442,1677.3173302620517
159,1536.684316987472,1677.501349889644
160,1536.539955443308,1677.3492864087023
161,1536.4112827787233,1677.261226089546
162,1536.3330442759511,1677.3172032651346
163,1536.3224515063519,1677.323364805213
164,1536.2732675200027,1677.1356567930213
165,1536.109611052867,1677.2949109269898
166,1535.9899434898757,1677.1546296945066
167,1535.882034430271,1677.2706928338705
168,1535.8937487936903,1677.0242356099354
169,1535.7947751987122,1677.1417416970291
170,1535.6804880509544,1677.092155969731
171,1535.6088763006212,1677.0654844275505
172,1535.5055443636827,1676.9229194401626
173,1535.4124803152197,1677.0469779112948
174,1535.3915511168234,1677.205553268638
175,1535.269807604576,1676.9731598584642
176,1535.1806953168866,1677.1835422943525
177,1535.1182079283058,1677.0110136981502
178,1535.00114928411,1676.9178921139294
179,1534.7793558196765,1676.86890195838
180,1534.6394578954064,1676.7109002767656
181,1534.6301764392372,1676.717166917741
182,1534.511647742227,1676.6135921734865
183,1534.4515425410584,1676.760746566704
184,1534.377060596224,1676.724227289448
185,1534.302828412321,1676.7434903132007
186,1534.2812697396125,1676.674454351177
187,1534.2227140980312,1676.6553763487948
188,1534.1250274161287,1676.8004549992993
189,1534.1022141813764,1676.7495686484024
190,1534.0197626421252,1676.666487484235
191,1533.9976581142967,1676.6052607378083
192,1533.8753599737684,1676.4573629747058
193,1533.8203736379667,1676.3602355135931
194,1533.6859531820255,1676.265620620796
195,1533.5042552573168,1676.222171253153
196,1533.3082576282636,1676.2935227193104
197,1533.1851164417812,1676.260615190583
198,1533.1322682898476,1676.3261302725616
199,1533.0895583481015,1676.0839778061938
200,1533.0295474584152,1676.1079681807034
201,1533.0183734668901,1675.940666164518
202,1533.003846757001,1676.1474237142656
203,1532.9436228439956,1676.084447475827
204,1532.9272312890405,1676.127706348094
205,1532.9095629649776,1676.1351707013732
206,1532.8808119450975,1676.1205682455156
207,1532.891916299656,1676.077640003153
208,1532.8372548449781,1676.0857174449973
209,1532.8255308859138,1676.1051381200953
210,1532.8106228176762,1676.3859064076514
211,1532.8220336845523,1676.2581288974916
212,1532.8049882549305,1676.2204173819366
213,1532.7696546225786,1675.9386714370796
214,1532.7353559490805,1676.094352140555
215,1532.7259541361068,1676.1636223899943
216,1532.6895216653215,1676.1517941598936
217,1532.6988626144898,1676.2083515800168
218,1532.6715646494245,1676.1979389276205
219,1532.6695062464908,1676.0636254554372
220,1532.6517869284285,1676.0162928286154
221,1532.619133770968,1676.0555283071749
222,1532.6093637593872,1676.0109304932735
223,1532.6083951475646,1676.0506367362668
224,1532.6079655368296,1676.1443363754204
225,1532.5749705002456,1676.098015344731
226,1532.5609951287022,1676.0797825287275
227,1532.5345807854612,1676.0651012471974
228,1532.537564208573,1676.091921682315
229,1532.5464648547165,1676.0205056228979
230,1532.5233612831626,1675.999014679092
231,1532.5372722268037,1676.2062561308855
232,1532.493742542813,1676.0245848514573
233,1532.4993513343977,1676.0691191669002
234,1532.496432339188,1676.0587776765694
235,1532.4645778135528,1675.9353443368134
236,1532.4616744455361,1675.9510010860427
237,1532.4457711718312,1676.0230269496217
238,1532.4467798112016,1676.0540131025784
239,1532.4341409759265,1676.276993413677
240,1532.4525319891388,1676.0453992082398
241,1532.444337856629,1675.9678522631727
242,1532.4878746688132,1676.183957223935
243,1532.4646167444553,1676.0183992257566
244,1532.463747379018,1676.033934452074
245,1532.4430813754561,1676.0097207381586
246,1532.422122567641,1676.2512601159613
247,1532.4386380434973,1676.2562688305773
248,1532.4700733765264,1676.0641750455438
249,1532.5055594425532,1675.8675871023684
250,1532.472729176902,1676.110969030269
251,1532.4132800436903,1676.0976453019898
252,1532.3797202348576,1675.982292688481
253,1532.3820401876578,1676.144662626121
254,1532.3893103966345,1676.013538309277
255,1532.3983245455502,1675.9084078527887
256,1532.3771187184166,1675.890144382357
257,1532.3427210726943,1676.0139488596553
258,1532.3486322641775,1676.0846762892377
259,1532.3496203414513,1676.0126767008828
260,1532.3434741937465,1675.9747900171665
261,1532.3080643445571,1676.022354741802
262,1532.3082576282636,1675.874625578055
263,1532.3345998670866,1676.1342554477299
264,1532.3195124973681,1675.9152350318807
265,1532.3201211354226,1675.924948106432
266,1532.3121923910373,1675.903315933296
267,1532.3390390866261,1675.8640903079456
268,1532.3763551792356,1676.1492148087164
269,1532.3173710235646,1676.0337198710763
270,1532.3088319961573,1675.9429827634528
271,1532.3036201901143,1675.9130585674748
272,1532.2780982418585,1675.8195450444928
273,1532.3210371082785,1676.1289390940303
274,1532.3137600452694,1675.9777733499159
275,1532.305877085819,1675.8784683295964
276,1532.2954614244104,1675.9010475056054
277,1532.3623458116929,1676.083879274103
278,1532.2944245464275,1675.9346250525505
279,1532.2827814649424,1675.890881183436
280,1532.2683918356963,1675.8352477753645
281,1532.2826254671709,1675.9078976755186
282,1532.276854372105,1675.953234480101
283,1532.3187654078642,1675.882071319717
284,1532.353473404162,1675.9153696924047
285,1532.2648203366261,1675.9524221377521
286,1532.2889001965189,1675.7689991767097
287,1532.312056955362,1675.8524022123738
288,1532.2622854413778,1675.8624470116313
289,1532.2829602181007,1676.0325243483744
290,1532.285081403969,1675.914303356222
291,1532.256038676481,1675.8579977403308
292,1532.2622141594434,1675.9965163431896
293,1532.2473869687851,1675.959847078195
294,1532.2667019055307,1675.9135501331277
295,1532.256670892406,1675.9035316090947
296,1532.2489738143072,1676.0785607308017
297,1532.2812513708063,1675.8059706067825
298,1532.2649258887213,1675.8247541076935
299,1532.2431262282425,1675.9063113088564
300,1532.274250936535,1676.123278972814
